Date,Symbol,Open,High,Low,Close,Volume
2023-03-31,HCA,260.74,263.68,260.07,263.68,1223921.0
2023-04-03,HCA,262.94,264.84,261.39,264.16,822977.0
2023-04-03,HCA,262.94,264.84,261.39,264.16,822977.0
2023-04-04,HCA,264.95,267.26,263.87,267.23,1103256.0
2023-04-04,HCA,264.95,267.26,263.87,267.23,1103256.0
2023-04-05,HCA,266.7,271.75,266.005,271.31,1099513.0
2023-04-05,HCA,266.7,271.75,266.005,271.31,1099513.0
2023-04-06,HCA,271.3,272.56,269.49,270.59,912080.0
2023-04-06,HCA,271.3,272.56,269.49,270.59,912080.0
2023-04-10,HCA,269.26,272.07,268.51,270.99,1008074.0
2023-04-10,HCA,269.26,272.07,268.51,270.99,1008074.0
2023-04-11,HCA,272.94,274.08,271.08,271.59,1752136.0
2023-04-11,HCA,272.94,274.08,271.08,271.59,1752136.0
2023-04-12,HCA,271.83,275.48,269.14,272.38,1200281.0
2023-04-12,HCA,271.83,275.48,269.14,272.38,1200281.0
2023-04-13,HCA,275.01,275.425,271.26,273.41,1612618.0
2023-04-13,HCA,275.01,275.425,271.26,273.41,1612618.0
2023-04-14,HCA,272.62,275.64,271.81,273.35,1084055.0
2023-04-14,HCA,272.62,275.64,271.81,273.35,1084055.0
2023-04-17,HCA,273.0,273.34,269.17,271.1,1007340.0
2023-04-17,HCA,273.0,273.34,269.17,271.1,1007340.0
2023-04-18,HCA,272.79,274.43,270.7,271.45,1178995.0
2023-04-18,HCA,272.79,274.43,270.7,271.45,1178995.0
2023-04-19,HCA,270.65,273.27,269.19,272.99,2105176.0
2023-04-19,HCA,270.65,273.27,269.19,272.99,2105176.0
2023-04-20,HCA,271.21,273.48,268.72,270.78,2227344.0
2023-04-20,HCA,271.21,273.48,268.72,270.78,2227344.0
2023-04-21,HCA,287.61,294.02,279.61,281.21,4082155.0
2023-04-21,HCA,287.61,294.02,279.61,281.21,4082155.0
2023-04-24,HCA,283.86,289.35,283.13,286.25,1892775.0
2023-04-24,HCA,283.86,289.35,283.13,286.25,1892775.0
2023-04-25,HCA,286.22,288.99,281.32,281.99,2072582.0
2023-04-25,HCA,286.22,288.99,281.32,281.99,2072582.0
2023-04-26,HCA,282.19,282.19,276.2909,278.07,1608248.0
2023-04-26,HCA,282.19,282.19,276.2909,278.07,1608248.0
2023-04-27,HCA,278.82,283.84,278.82,282.44,1254548.0
2023-04-27,HCA,278.82,283.84,278.82,282.44,1254548.0
2023-04-28,HCA,282.0,287.46,282.0,287.33,1206425.0
2023-04-28,HCA,282.0,287.46,282.0,287.33,1206425.0
2023-05-01,HCA,287.91,289.7,283.43,284.01,980392.0
2023-05-01,HCA,287.91,289.7,283.43,284.01,980392.0
2023-05-02,HCA,282.69,283.85,277.96,280.54,1018897.0
2023-05-02,HCA,282.69,283.85,277.96,280.54,1018897.0
2023-05-03,HCA,281.19,282.325,277.66,278.21,938174.0
2023-05-03,HCA,281.19,282.325,277.66,278.21,938174.0
2023-05-04,HCA,278.63,280.345,275.25,277.63,1460333.0
2023-05-04,HCA,278.63,280.345,275.25,277.63,1460333.0
2023-05-05,HCA,279.36,281.6452,275.62,278.06,1247857.0
2023-05-05,HCA,279.36,281.6452,275.62,278.06,1247857.0
2023-05-08,HCA,277.02,279.3699,276.28,277.78,934572.0
2023-05-08,HCA,277.02,279.3699,276.28,277.78,934572.0
2023-05-09,HCA,276.8,277.135,273.01,274.05,1069353.0
2023-05-09,HCA,276.8,277.135,273.01,274.05,1069353.0
2023-05-10,HCA,276.1,280.25,275.41,278.54,1029870.0
2023-05-10,HCA,276.1,280.25,275.41,278.54,1029870.0
2023-05-11,HCA,277.94,279.77,275.8822,278.1,1418104.0
2023-05-11,HCA,277.94,279.77,275.8822,278.1,1418104.0
2023-05-12,HCA,278.8,280.27,274.76,275.87,1171814.0
2023-05-12,HCA,278.8,280.27,274.76,275.87,1171814.0
2023-05-15,HCA,275.94,278.27,275.22,277.52,769856.0
2023-05-15,HCA,275.94,278.27,275.22,277.52,769856.0
2023-05-16,HCA,277.56,280.185,275.51,275.57,888884.0
2023-05-16,HCA,277.56,280.185,275.51,275.57,888884.0
2023-05-17,HCA,277.32,277.47,273.01,275.46,949289.0
2023-05-17,HCA,277.32,277.47,273.01,275.46,949289.0
2023-05-18,HCA,278.28,282.495,277.72,279.4,1490551.0
2023-05-18,HCA,278.28,282.495,277.72,279.4,1490551.0
2023-05-19,HCA,281.47,285.76,280.3,282.47,1511957.0
2023-05-19,HCA,281.47,285.76,280.3,282.47,1511957.0
2023-05-22,HCA,282.88,284.78,276.87,277.04,1236358.0
2023-05-22,HCA,282.88,284.78,276.87,277.04,1236358.0
2023-05-23,HCA,274.4,274.4,267.0197,267.76,1168474.0
2023-05-23,HCA,274.4,274.4,267.0197,267.76,1168474.0
2023-05-24,HCA,265.43,266.45,262.09,264.9,1057408.0
2023-05-24,HCA,265.43,266.45,262.09,264.9,1057408.0
2023-05-25,HCA,264.94,266.57,262.555,264.09,868658.0
2023-05-25,HCA,264.94,266.57,262.555,264.09,868658.0
2023-05-26,HCA,264.16,267.43,263.77,264.41,975259.0
2023-05-26,HCA,264.16,267.43,263.77,264.41,975259.0
2023-05-30,HCA,263.54,268.86,262.61,264.18,1102361.0
2023-05-30,HCA,263.54,268.86,262.61,264.18,1102361.0
2023-05-31,HCA,262.1,264.45,259.181,264.19,1918064.0
2023-05-31,HCA,262.1,264.45,259.181,264.19,1918064.0
2023-06-01,HCA,264.32,268.51,263.69,267.87,895206.0
2023-06-01,HCA,264.32,268.51,263.69,267.87,895206.0
2023-06-02,HCA,269.5,275.735,269.46,274.26,1037474.0
2023-06-02,HCA,269.5,275.735,269.46,274.26,1037474.0
2023-06-05,HCA,273.41,275.235,272.16,272.23,1026347.0
2023-06-05,HCA,273.41,275.235,272.16,272.23,1026347.0
2023-06-06,HCA,272.53,273.235,266.69,271.19,1164940.0
2023-06-06,HCA,272.53,273.235,266.69,271.19,1164940.0
2023-06-07,HCA,271.8,275.41,267.78,273.53,1207988.0
2023-06-07,HCA,271.8,275.41,267.78,273.53,1207988.0
2023-06-08,HCA,274.13,275.195,271.7,273.49,845286.0
2023-06-08,HCA,274.13,275.195,271.7,273.49,845286.0
2023-06-09,HCA,272.87,275.0,271.62,271.79,729958.0
2023-06-09,HCA,272.87,275.0,271.62,271.79,729958.0
2023-06-12,HCA,272.3,276.405,271.71,276.24,1166024.0
2023-06-12,HCA,272.3,276.405,271.71,276.24,1166024.0
2023-06-13,HCA,277.56,281.0,277.12,279.85,1096454.0
2023-06-13,HCA,277.56,281.0,277.12,279.85,1096454.0
2023-06-14,HCA,294.86,296.89,283.42,284.2,2195932.0
2023-06-14,HCA,294.86,296.89,283.42,284.2,2195932.0
2023-06-15,HCA,282.94,287.375,282.32,285.89,1251692.0
2023-06-15,HCA,282.94,287.375,282.32,285.89,1251692.0
2023-06-16,HCA,287.6,291.71,287.6,290.08,2967799.0
2023-06-16,HCA,287.6,291.71,287.6,290.08,2967799.0
2023-06-20,HCA,289.36,290.653,285.04,285.3,999447.0
2023-06-20,HCA,289.36,290.653,285.04,285.3,999447.0
2023-06-21,HCA,284.36,289.2,281.765,286.98,1325615.0
2023-06-21,HCA,284.36,289.2,281.765,286.98,1325615.0
2023-06-22,HCA,286.49,294.47,285.48,294.4,1198082.0
2023-06-22,HCA,286.49,294.47,285.48,294.4,1198082.0
2023-06-23,HCA,292.77,296.98,291.6,295.4,2019943.0
2023-06-23,HCA,292.77,296.98,291.6,295.4,2019943.0
2023-06-26,HCA,295.88,296.82,293.65,294.87,928453.0
2023-06-26,HCA,295.88,296.82,293.65,294.87,928453.0
2023-06-27,HCA,294.0,298.479,294.0,297.6,1164354.0
2023-06-27,HCA,294.0,298.479,294.0,297.6,1164354.0
2023-06-28,HCA,297.39,299.78,295.83,299.52,1226184.0
2023-06-28,HCA,297.39,299.78,295.83,299.52,1226184.0
2023-06-29,HCA,299.0,302.925,298.15,300.44,954329.0
2023-06-29,HCA,299.0,302.925,298.15,300.44,954329.0
2023-06-30,HCA,303.94,304.86,301.81,303.48,1246172.0
2023-06-30,HCA,303.94,304.86,301.81,303.48,1246172.0
2023-07-03,HCA,300.44,301.365,292.02,297.58,930324.0
2023-07-03,HCA,300.44,301.365,292.02,297.58,930324.0
2023-07-05,HCA,296.66,300.55,295.95,298.35,890972.0
2023-07-05,HCA,296.66,300.55,295.95,298.35,890972.0
2023-07-06,HCA,297.1,299.33,293.44,294.46,1206272.0
2023-07-06,HCA,297.1,299.33,293.44,294.46,1206272.0
2023-07-07,HCA,291.8,294.84,290.0,291.49,928994.0
2023-07-07,HCA,291.8,294.84,290.0,291.49,928994.0
2023-07-10,HCA,291.82,295.96,291.82,295.74,737426.0
2023-07-10,HCA,291.82,295.96,291.82,295.74,737426.0
2023-07-11,HCA,297.14,297.69,292.92,294.69,843338.0
2023-07-11,HCA,297.14,297.69,292.92,294.69,843338.0
2023-07-12,HCA,295.77,296.79,293.58,295.24,1275356.0
2023-07-12,HCA,295.77,296.79,293.58,295.24,1275356.0
2023-07-13,HCA,295.65,299.04,294.07,295.98,1262590.0
2023-07-13,HCA,295.65,299.04,294.07,295.98,1262590.0
2023-07-14,HCA,296.01,300.07,295.165,296.56,1214553.0
2023-07-14,HCA,296.01,300.07,295.165,296.56,1214553.0
2023-07-17,HCA,294.78,295.74,289.8,291.86,1800850.0
2023-07-17,HCA,294.78,295.74,289.8,291.86,1800850.0
2023-07-18,HCA,291.62,293.17,288.39,289.74,1549534.0
2023-07-18,HCA,291.62,293.17,288.39,289.74,1549534.0
2023-07-19,HCA,288.79,290.1,280.48,286.71,2637479.0
2023-07-19,HCA,288.79,290.1,280.48,286.71,2637479.0
2023-07-20,HCA,288.51,290.0,285.15,286.91,1738144.0
2023-07-20,HCA,288.51,290.0,285.15,286.91,1738144.0
2023-07-21,HCA,287.7,289.27,284.85,285.14,1027421.0
2023-07-21,HCA,287.7,289.27,284.85,285.14,1027421.0
2023-07-24,HCA,285.0,287.22,283.725,285.18,1031938.0
2023-07-24,HCA,285.0,287.22,283.725,285.18,1031938.0
2023-07-25,HCA,284.57,286.57,281.78,285.53,3057828.0
2023-07-25,HCA,284.57,286.57,281.78,285.53,3057828.0
2023-07-26,HCA,284.18,287.51,281.82,282.18,1943633.0
2023-07-26,HCA,284.18,287.51,281.82,282.18,1943633.0
2023-07-27,HCA,274.0,276.7,265.12,276.32,3025314.0
2023-07-27,HCA,274.0,276.7,265.12,276.32,3025314.0
2023-07-28,HCA,278.39,278.91,272.1,273.25,2012038.0
2023-07-28,HCA,278.39,278.91,272.1,273.25,2012038.0
2023-07-31,HCA,275.51,275.51,270.21,272.81,1600515.0
2023-07-31,HCA,275.51,275.51,270.21,272.81,1600515.0
2023-08-01,HCA,273.1,277.6,272.51,273.87,1272968.0
2023-08-01,HCA,273.1,277.6,272.51,273.87,1272968.0
2023-08-02,HCA,273.46,275.8299,268.35,269.39,1168260.0
2023-08-02,HCA,273.46,275.8299,268.35,269.39,1168260.0
2023-08-03,HCA,269.0,273.31,268.56,270.75,1091754.0
2023-08-03,HCA,269.0,273.31,268.56,270.75,1091754.0
2023-08-04,HCA,270.05,271.69,267.81,268.69,1159188.0
2023-08-04,HCA,270.05,271.69,267.81,268.69,1159188.0
2023-08-07,HCA,270.0,272.61,269.725,272.58,952928.0
2023-08-07,HCA,270.0,272.61,269.725,272.58,952928.0
2023-08-08,HCA,270.93,270.93,265.95,267.61,1193811.0
2023-08-08,HCA,270.93,270.93,265.95,267.61,1193811.0
2023-08-09,HCA,268.59,270.22,266.115,267.1,1027522.0
2023-08-09,HCA,268.59,270.22,266.115,267.1,1027522.0
2023-08-10,HCA,267.05,269.6254,266.02,268.05,1088828.0
2023-08-10,HCA,267.05,269.6254,266.02,268.05,1088828.0
2023-08-11,HCA,267.16,270.76,266.1699,269.58,958184.0
2023-08-11,HCA,267.16,270.76,266.1699,269.58,958184.0
2023-08-14,HCA,268.98,270.95,267.5,270.89,880928.0
2023-08-14,HCA,268.98,270.95,267.5,270.89,880928.0
2023-08-15,HCA,271.0,272.33,268.01,268.77,949164.0
2023-08-15,HCA,271.0,272.33,268.01,268.77,949164.0
2023-08-16,HCA,269.83,273.0,266.68,267.05,746265.0
2023-08-16,HCA,269.83,273.0,266.68,267.05,746265.0
2023-08-17,HCA,266.12,268.73,264.3525,265.61,1240152.0
2023-08-17,HCA,266.12,268.73,264.3525,265.61,1240152.0
2023-08-18,HCA,264.3,269.501,264.3,269.04,977898.0
2023-08-18,HCA,264.3,269.501,264.3,269.04,977898.0
2023-08-21,HCA,269.61,275.12,269.44,274.82,1264319.0
2023-08-21,HCA,269.61,275.12,269.44,274.82,1264319.0
2023-08-22,HCA,275.57,277.66,274.32,274.83,1627997.0
2023-08-22,HCA,275.57,277.66,274.32,274.83,1627997.0
2023-08-23,HCA,276.92,277.68,275.33,277.17,833688.0
2023-08-23,HCA,276.92,277.68,275.33,277.17,833688.0
2023-08-24,HCA,277.0,279.97,272.5,272.59,1002726.0
2023-08-24,HCA,277.0,279.97,272.5,272.59,1002726.0
2023-08-25,HCA,273.57,276.315,272.751,273.28,879238.0
2023-08-25,HCA,273.57,276.315,272.751,273.28,879238.0
2023-08-28,HCA,274.35,277.9,274.0,277.54,662204.0
2023-08-28,HCA,274.35,277.9,274.0,277.54,662204.0
2023-08-29,HCA,277.79,279.93,276.14,279.35,694157.0
2023-08-29,HCA,277.79,279.93,276.14,279.35,694157.0
2023-08-30,HCA,280.13,281.79,279.3,279.76,538577.0
2023-08-30,HCA,280.13,281.79,279.3,279.76,538577.0
2023-08-31,HCA,279.62,280.52,277.26,277.3,981008.0
2023-08-31,HCA,279.62,280.52,277.26,277.3,981008.0
2023-09-01,HCA,279.1,280.999,278.16,280.81,966918.0
2023-09-01,HCA,279.1,280.999,278.16,280.81,966918.0
2023-09-05,HCA,278.89,278.93,271.43,274.25,1240149.0
2023-09-05,HCA,278.89,278.93,271.43,274.25,1240149.0
2023-09-06,HCA,273.83,276.5,273.29,274.57,780331.0
2023-09-06,HCA,273.83,276.5,273.29,274.57,780331.0
2023-09-07,HCA,274.5,275.885,271.37,271.89,1260231.0
2023-09-07,HCA,274.5,275.885,271.37,271.89,1260231.0
2023-09-08,HCA,271.89,277.21,271.79,273.58,990889.0
2023-09-08,HCA,271.89,277.21,271.79,273.58,990889.0
2023-09-11,HCA,273.79,274.21,272.05,272.48,1042658.0
2023-09-11,HCA,273.79,274.21,272.05,272.48,1042658.0
2023-09-12,HCA,271.15,272.66,260.79,260.87,1591808.0
2023-09-12,HCA,271.15,272.66,260.79,260.87,1591808.0
2023-09-13,HCA,260.27,262.775,259.89,262.49,1421972.0
2023-09-13,HCA,260.27,262.775,259.89,262.49,1421972.0
2023-09-14,HCA,263.95,264.465,261.05,263.58,867019.0
2023-09-14,HCA,263.95,264.465,261.05,263.58,867019.0
2023-09-15,HCA,258.59,262.61,252.32,256.28,4375414.0
2023-09-15,HCA,258.59,262.61,252.32,256.28,4375414.0
2023-09-18,HCA,255.68,257.33,253.94,255.71,1387462.0
2023-09-18,HCA,255.68,257.33,253.94,255.71,1387462.0
2023-09-19,HCA,255.93,257.5,252.72,254.29,1089677.0
2023-09-19,HCA,255.93,257.5,252.72,254.29,1089677.0
2023-09-20,HCA,255.85,256.55,253.66,254.21,1084342.0
2023-09-20,HCA,255.85,256.55,253.66,254.21,1084342.0
2023-09-21,HCA,252.77,255.28,252.67,253.44,1188791.0
2023-09-21,HCA,252.77,255.28,252.67,253.44,1188791.0
2023-09-22,HCA,253.17,254.37,251.35,252.27,818275.0
2023-09-22,HCA,253.17,254.37,251.35,252.27,818275.0
2023-09-25,HCA,251.42,254.925,250.76,254.52,726698.0
2023-09-25,HCA,251.42,254.925,250.76,254.52,726698.0
2023-09-26,HCA,253.26,254.42,248.42,248.46,1540279.0
2023-09-26,HCA,253.26,254.42,248.42,248.46,1540279.0
2023-09-27,HCA,249.15,251.76,243.58,247.26,1308702.0
2023-09-27,HCA,249.15,251.76,243.58,247.26,1308702.0
2023-09-28,HCA,247.78,252.62,247.19,250.65,1065281.0
2023-09-28,HCA,247.78,252.62,247.19,250.65,1065281.0
2023-09-29,HCA,250.93,250.93,244.8018,245.98,1529400.0
2023-09-29,HCA,250.93,250.93,244.8018,245.98,1529400.0
2023-10-02,HCA,245.6,247.395,244.19,247.21,1294736.0
2023-10-02,HCA,245.6,247.395,244.19,247.21,1294736.0
2023-10-03,HCA,246.0,246.175,242.57,243.98,1004245.0
2023-10-03,HCA,246.0,246.175,242.57,243.98,1004245.0
2023-10-04,HCA,245.51,245.66,239.94,243.36,1290407.0
2023-10-04,HCA,245.51,245.66,239.94,243.36,1290407.0
2023-10-05,HCA,244.0,247.0,242.53,245.43,896372.0
2023-10-05,HCA,244.0,247.0,242.53,245.43,896372.0
2023-10-06,HCA,244.65,247.3599,241.77,245.38,1011700.0
2023-10-06,HCA,244.65,247.3599,241.77,245.38,1011700.0
2023-10-09,HCA,246.16,249.3,244.125,248.95,795422.0
2023-10-09,HCA,246.16,249.3,244.125,248.95,795422.0
2023-10-10,HCA,249.07,254.29,249.07,253.07,1085361.0
2023-10-10,HCA,249.07,254.29,249.07,253.07,1085361.0
2023-10-11,HCA,251.73,251.73,240.93,244.07,1720196.0
2023-10-11,HCA,251.73,251.73,240.93,244.07,1720196.0
2023-10-12,HCA,244.69,245.58,234.46,234.97,2002898.0
2023-10-12,HCA,244.69,245.58,234.46,234.97,2002898.0
2023-10-13,HCA,235.88,238.78,234.3,237.42,1177939.0
2023-10-13,HCA,235.88,238.78,234.3,237.42,1177939.0
2023-10-16,HCA,238.9,240.19,237.49,239.42,1437551.0
2023-10-16,HCA,238.9,240.19,237.49,239.42,1437551.0
2023-10-17,HCA,238.12,245.0,237.8,243.97,1216809.0
2023-10-17,HCA,238.12,245.0,237.8,243.97,1216809.0
2023-10-18,HCA,243.35,245.89,242.43,242.51,1153907.0
2023-10-18,HCA,243.35,245.89,242.43,242.51,1153907.0
2023-10-19,HCA,243.42,247.555,242.97,244.05,1124696.0
2023-10-19,HCA,243.42,247.555,242.97,244.05,1124696.0
2023-10-20,HCA,246.09,247.16,240.955,241.13,1166295.0
2023-10-20,HCA,246.09,247.16,240.955,241.13,1166295.0
2023-10-23,HCA,240.91,244.24,240.505,240.94,1282603.0
2023-10-23,HCA,240.91,244.24,240.505,240.94,1282603.0
2023-10-24,HCA,218.75,232.59,215.96,230.12,3636539.0
2023-10-24,HCA,218.75,232.59,215.96,230.12,3636539.0
2023-10-25,HCA,230.0,231.43,224.81,225.36,1565425.0
2023-10-25,HCA,230.0,231.43,224.81,225.36,1565425.0
2023-10-26,HCA,223.76,227.04,221.4,221.81,1548151.0
2023-10-26,HCA,223.76,227.04,221.4,221.81,1548151.0
2023-10-27,HCA,223.57,227.83,220.55,225.29,1320384.0
2023-10-27,HCA,223.57,227.83,220.55,225.29,1320384.0
2023-10-30,HCA,226.55,227.175,222.23,223.34,1442745.0
2023-10-30,HCA,226.55,227.175,222.23,223.34,1442745.0
2023-10-31,HCA,224.1,227.025,224.1,226.14,1433542.0
2023-10-31,HCA,224.1,227.025,224.1,226.14,1433542.0
2023-11-01,HCA,225.0,226.22,223.73,225.36,1158067.0
2023-11-01,HCA,225.0,226.22,223.73,225.36,1158067.0
2023-11-02,HCA,225.77,228.73,225.32,227.92,1128468.0
2023-11-02,HCA,225.77,228.73,225.32,227.92,1128468.0
2023-11-03,HCA,231.01,234.265,230.295,230.84,1250314.0
2023-11-03,HCA,231.01,234.265,230.295,230.84,1250314.0
2023-11-06,HCA,231.48,231.99,226.44,231.0,1610263.0
2023-11-06,HCA,231.48,231.99,226.44,231.0,1610263.0
2023-11-07,HCA,231.35,234.16,230.51,233.11,1387367.0
2023-11-07,HCA,231.35,234.16,230.51,233.11,1387367.0
2023-11-08,HCA,234.28,236.175,231.43,231.55,1424575.0
2023-11-08,HCA,234.28,236.175,231.43,231.55,1424575.0
2023-11-09,HCA,234.0,236.0,227.31,227.56,1279626.0
2023-11-09,HCA,234.0,236.0,227.31,227.56,1279626.0
2023-11-10,HCA,228.65,234.43,226.48,232.82,1536034.0
2023-11-10,HCA,228.65,234.43,226.48,232.82,1536034.0
2023-11-13,HCA,233.52,235.76,229.28,229.99,1798163.0
2023-11-13,HCA,233.52,235.76,229.28,229.99,1798163.0
2023-11-14,HCA,238.19,239.89,233.23,237.58,1810806.0
2023-11-14,HCA,238.19,239.89,233.23,237.58,1810806.0
2023-11-15,HCA,237.57,244.84,237.57,241.07,1949925.0
2023-11-15,HCA,237.57,244.84,237.57,241.07,1949925.0
2023-11-16,HCA,240.58,242.04,238.815,240.42,1676566.0
2023-11-16,HCA,240.58,242.04,238.815,240.42,1676566.0
2023-11-17,HCA,243.5,250.33,243.5,246.38,3050141.0
2023-11-17,HCA,243.5,250.33,243.5,246.38,3050141.0
2023-11-20,HCA,245.03,250.71,245.03,248.41,1636405.0
2023-11-20,HCA,245.03,250.71,245.03,248.41,1636405.0
2023-11-21,HCA,247.84,250.31,247.665,248.56,1168953.0
2023-11-21,HCA,247.84,250.31,247.665,248.56,1168953.0
2023-11-22,HCA,250.38,253.43,249.26,253.01,1112583.0
2023-11-22,HCA,250.38,253.43,249.26,253.01,1112583.0
2023-11-24,HCA,253.7,254.1125,251.37,252.18,435499.0
2023-11-24,HCA,253.7,254.1125,251.37,252.18,435499.0
2023-11-27,HCA,251.11,253.22,250.82,251.37,1146015.0
2023-11-27,HCA,251.11,253.22,250.82,251.37,1146015.0
2023-11-28,HCA,250.5,251.54,245.84,246.65,1546167.0
2023-11-28,HCA,250.5,251.54,245.84,246.65,1546167.0
2023-11-29,HCA,248.71,250.57,247.72,249.08,1401006.0
2023-11-29,HCA,248.71,250.57,247.72,249.08,1401006.0
2023-11-30,HCA,248.76,250.54,246.6,250.48,1792753.0
2023-11-30,HCA,248.76,250.54,246.6,250.48,1792753.0
2023-12-01,HCA,250.47,253.56,250.0,252.36,980526.0
2023-12-01,HCA,250.47,253.56,250.0,252.36,980526.0
2023-12-04,HCA,250.68,257.45,250.67,257.14,2000397.0
2023-12-04,HCA,250.68,257.45,250.67,257.14,2000397.0
2023-12-05,HCA,255.84,256.39,252.36,252.51,981706.0
2023-12-05,HCA,255.84,256.39,252.36,252.51,981706.0
2023-12-06,HCA,253.28,255.0608,251.55,252.39,1079872.0
2023-12-06,HCA,253.28,255.0608,251.55,252.39,1079872.0
2023-12-07,HCA,253.69,254.43,252.85,253.95,900129.0
2023-12-07,HCA,253.69,254.43,252.85,253.95,900129.0
2023-12-08,HCA,254.24,258.15,253.2727,257.53,1552543.0
2023-12-08,HCA,254.24,258.15,253.2727,257.53,1552543.0
2023-12-11,HCA,256.11,262.18,255.73,262.02,1484847.0
2023-12-11,HCA,256.11,262.18,255.73,262.02,1484847.0
2023-12-12,HCA,262.69,263.7,260.79,263.0,1373185.0
2023-12-12,HCA,262.69,263.7,260.79,263.0,1373185.0
2023-12-13,HCA,262.99,268.75,261.3145,268.27,1417354.0
2023-12-13,HCA,262.99,268.75,261.3145,268.27,1417354.0
2023-12-14,HCA,271.23,276.78,271.215,275.85,2409958.0
2023-12-14,HCA,271.23,276.78,271.215,275.85,2409958.0
2023-12-15,HCA,274.47,274.65,268.84,270.39,2794259.0
2023-12-15,HCA,274.47,274.65,268.84,270.39,2794259.0
2023-12-18,HCA,271.44,271.44,266.82,267.18,881835.0
2023-12-18,HCA,271.44,271.44,266.82,267.18,881835.0
2023-12-19,HCA,267.94,269.26,266.3,269.18,1478277.0
2023-12-19,HCA,267.94,269.26,266.3,269.18,1478277.0
2023-12-20,HCA,269.19,270.35,263.22,263.47,1019759.0
2023-12-20,HCA,269.19,270.35,263.22,263.47,1019759.0
2023-12-21,HCA,265.81,268.97,265.755,268.75,737157.0
2023-12-21,HCA,265.81,268.97,265.755,268.75,737157.0
2023-12-22,HCA,269.78,270.92,268.01,269.99,569537.0
2023-12-22,HCA,269.78,270.92,268.01,269.99,569537.0
2023-12-26,HCA,270.33,273.065,269.8019,271.7,509412.0
2023-12-26,HCA,270.33,273.065,269.8019,271.7,509412.0
2023-12-27,HCA,271.19,271.89,270.0717,271.22,517139.0
2023-12-27,HCA,271.19,271.89,270.0717,271.22,517139.0
2023-12-28,HCA,270.99,272.6044,270.29,270.48,542305.0
2023-12-28,HCA,270.99,272.6044,270.29,270.48,542305.0
2023-12-29,HCA,269.89,272.29,269.715,270.68,629373.0
2023-12-29,HCA,269.89,272.29,269.715,270.68,629373.0
2024-01-02,HCA,269.5,275.43,268.8,275.32,1065836.0
2024-01-02,HCA,269.5,275.43,268.8,275.32,1065836.0
2024-01-03,HCA,273.93,275.59,270.77,272.08,1158676.0
2024-01-03,HCA,273.93,275.59,270.77,272.08,1158676.0
2024-01-04,HCA,271.86,276.75,271.1341,273.1,832900.0
2024-01-04,HCA,271.86,276.75,271.1341,273.1,832900.0
2024-01-05,HCA,272.87,278.8453,272.82,275.84,822735.0
2024-01-05,HCA,272.87,278.8453,272.82,275.84,822735.0
2024-01-08,HCA,276.85,281.685,276.57,281.49,834735.0
2024-01-08,HCA,276.85,281.685,276.57,281.49,834735.0
2024-01-09,HCA,280.28,281.75,278.845,279.33,764356.0
2024-01-09,HCA,280.28,281.75,278.845,279.33,764356.0
2024-01-10,HCA,278.95,283.1,278.26,282.5,890907.0
2024-01-10,HCA,278.95,283.1,278.26,282.5,890907.0
2024-01-11,HCA,282.5,283.95,281.28,282.53,869788.0
2024-01-11,HCA,282.5,283.95,281.28,282.53,869788.0
2024-01-12,HCA,284.65,287.23,280.94,282.19,899922.0
2024-01-12,HCA,284.65,287.23,280.94,282.19,899922.0
2024-01-16,HCA,280.66,282.215,279.41,280.82,841567.0
2024-01-16,HCA,280.66,282.215,279.41,280.82,841567.0
2024-01-17,HCA,278.65,281.94,276.5,277.88,737380.0
2024-01-17,HCA,278.65,281.94,276.5,277.88,737380.0
2024-01-18,HCA,279.01,285.87,278.5,284.82,1316673.0
2024-01-18,HCA,279.01,285.87,278.5,284.82,1316673.0
2024-01-19,HCA,286.09,288.09,283.42,287.77,1212203.0
2024-01-19,HCA,286.09,288.09,283.42,287.77,1212203.0
2024-01-22,HCA,288.59,290.97,287.03,288.31,1768975.0
2024-01-22,HCA,288.59,290.97,287.03,288.31,1768975.0
2024-01-23,HCA,288.75,291.36,283.67,284.91,1992005.0
2024-01-23,HCA,288.75,291.36,283.67,284.91,1992005.0
2024-01-24,HCA,285.15,286.49,278.68,278.93,1435665.0
2024-01-24,HCA,285.15,286.49,278.68,278.93,1435665.0
2024-01-25,HCA,280.29,286.21,279.93,286.02,1438826.0
2024-01-25,HCA,280.29,286.21,279.93,286.02,1438826.0
2024-01-26,HCA,287.49,288.195,281.94,283.43,929871.0
2024-01-26,HCA,287.49,288.195,281.94,283.43,929871.0
2024-01-29,HCA,282.42,287.19,281.61,286.73,1742821.0
2024-01-29,HCA,282.42,287.19,281.61,286.73,1742821.0
2024-01-30,HCA,300.0,304.95,296.12,301.59,2483214.0
2024-01-30,HCA,300.0,304.95,296.12,301.59,2483214.0
2024-01-31,HCA,303.42,309.33,302.39,304.9,2555880.0
2024-01-31,HCA,303.42,309.33,302.39,304.9,2555880.0
2024-02-01,HCA,303.35,314.82,303.35,314.66,1739760.0
2024-02-01,HCA,303.35,314.82,303.35,314.66,1739760.0
2024-02-02,HCA,313.0,313.0,307.15,309.42,1280094.0
2024-02-02,HCA,313.0,313.0,307.15,309.42,1280094.0
2024-02-05,HCA,308.79,312.5091,308.09,310.62,861939.0
2024-02-05,HCA,308.79,312.5091,308.09,310.62,861939.0
2024-02-06,HCA,310.63,312.49,304.97,306.82,1261321.0
